MES;0802010083 DIARIA DE UNIDADE DE TERAPIA INTENSIVA ADULTO (UTI II);0802010105 DIARIA DE UNIDADE DE TERAPIA INTENSIVA DE ADULTO (UTI I)
2007/Jun;51;-
2007/Ago;55;-
2007/Set;82;-
2007/Out;78;7
2007/Nov;394;21
2007/Dez;742;63
2008/Jan;2503;145
2008/Fev;2329;102
2008/Mar;2452;100
2008/Abr;2355;168
2008/Mai;2205;91
2008/Jun;2359;54
2008/Jul;2648;121
2008/Ago;2409;76
2008/Set;2203;47
2008/Out;2396;103
2008/Nov;2069;106
2008/Dez;2282;78
2009/Jan;2179;93
2009/Fev;2253;69
2009/Mar;2407;104
2009/Abr;2482;67
2009/Mai;2562;19
2009/Jun;2798;9
2009/Jul;2693;2
2009/Ago;2819;4
2009/Set;3234;7
2009/Out;2810;9
2009/Nov;2526;2
2009/Dez;2407;1
2010/Jan;2882;4
2010/Fev;2203;6
2010/Mar;2540;7
2010/Abr;2579;4
2010/Mai;2757;9
2010/Jun;2931;9
2010/Jul;2671;7
2010/Ago;3074;6
2010/Set;3440;10
2010/Out;3063;6
2010/Nov;2960;5
2010/Dez;3374;2
2011/Jan;3614;5
2011/Fev;3231;9
2011/Mar;4244;6
2011/Abr;3294;1
2011/Mai;3577;8
2011/Jun;3419;7
2011/Jul;3429;9
2011/Ago;3896;4
2011/Set;3242;5
2011/Out;3939;6
2011/Nov;3256;8
2011/Dez;3872;2
2012/Jan;4573;4
2012/Fev;3720;7
2012/Mar;4496;6
2012/Abr;3944;1
2012/Mai;3913;8
2012/Jun;4446;6
2012/Jul;4538;1
2012/Ago;4676;4
2012/Set;4272;3
2012/Out;4946;7
2012/Nov;4477;4
2012/Dez;4419;4
2013/Jan;5154;1
2013/Fev;4251;4
2013/Mar;4494;5
2013/Abr;4480;7
2013/Mai;4740;8
2013/Jun;4152;4
2013/Jul;4404;6
2013/Ago;3976;6
2013/Set;3816;11
2013/Out;3960;8
2013/Nov;3989;8
2013/Dez;4028;4
2014/Jan;4182;4
2014/Fev;3972;5
2014/Mar;3859;4
2014/Abr;4082;4
2014/Mai;3864;7
2014/Jun;4099;5
2014/Jul;3870;7
2014/Ago;4286;8
2014/Set;4457;5
2014/Out;4335;3
2014/Nov;4124;7
2014/Dez;4422;3
2015/Jan;4258;1
2015/Fev;4014;5
2015/Mar;4283;12
2015/Abr;4204;7
2015/Mai;4230;4
2015/Jun;4271;7
2015/Jul;4577;2
2015/Ago;4622;4
2015/Set;4598;7
2015/Out;4548;6
2015/Nov;4128;8
2015/Dez;4822;-
2016/Jan;4834;1
2016/Fev;4059;6
2016/Mar;4970;1
2016/Abr;4084;2
2016/Mai;5133;2
2016/Jun;4955;4
2016/Jul;4845;-
2016/Ago;5209;-
2016/Set;5071;1
2016/Out;5504;-
2016/Nov;4571;4
2016/Dez;5332;2
2017/Jan;5756;3
2017/Fev;5206;3
2017/Mar;5770;5
2017/Abr;5276;5
2017/Mai;5226;5
2017/Jun;5414;1
2017/Jul;5314;2
2017/Ago;5585;9
2017/Set;4651;6
2017/Out;5905;3
2017/Nov;5174;6
2017/Dez;5852;4
2018/Jan;5662;5
2018/Fev;5146;2
2018/Mar;5476;6
2018/Abr;4951;1
2018/Mai;5140;6
2018/Jun;5304;4
2018/Jul;6210;4
2018/Ago;6130;4
2018/Set;6664;2
2018/Out;6422;4
2018/Nov;6130;2
2018/Dez;6233;2
2019/Jan;6220;5
2019/Fev;5571;6
2019/Mar;6073;1
2019/Abr;5869;5
2019/Mai;6189;2
2019/Jun;6036;2
2019/Jul;6242;3
2019/Ago;7201;6
2019/Set;6346;6
2019/Out;6432;21
2019/Nov;7348;6
2019/Dez;6549;3
2020/Jan;6920;10
2020/Fev;6619;2
2020/Mar;6382;-
2020/Abr;5873;-
2020/Mai;4834;-
2020/Jun;5630;-
2020/Jul;4435;-
2020/Ago;1727;-
